customer_id,contract_type,contract_start_date,last_call_date,minutes_used_two_months_ago,minutes_used_last_month,minutes_used_current_month,helpdesk_calls_3m,avg_monthly_bill,unpaid_invoices,region_code,retention_offer_sent,region_churn_rate,contract_end_date,churn
C04665,Prepaid,2020-05-11,2023-05-07,69,72,66,0,,0,9740,0,0.174,,0
C00339,Prepaid,2022-01-20,2023-06-28,97,102,105,2,,0,4390,0,0.071,,0
C04624,Postpaid,2014-05-20,2023-06-09,3351,3627,3387,1,308.1,0,9160,0,0.153,,0
C03985,Postpaid,2021-04-29,2023-06-23,1195,1267,1360,3,122.02,0,3270,0,0.0,2024-09-18,0
C01354,Prepaid,2019-09-22,2023-06-15,120,121,128,1,,0,1850,0,0.2,,0
C01837,Postpaid,2018-01-28,2023-06-19,887,880,869,2,94.89,1,1890,0,0.235,,0
C00964,Postpaid,2016-09-29,2023-06-11,507,473,475,3,49.96,0,3000 Leuven,0,0.173,,0
C02467,Postpaid,2018-03-21,2023-05-06,277,306,293,1,40.84,0,3000 Leuven,0,0.173,,0
C03016,Prepaid,2021-07-08,2023-05-26,137,77,4,2,,0,4600,1,0.102,,1
C01464,Prepaid,2021-01-20,2023-05-16,119,124,122,1,,0,3250,0,0.062,,0
C04922,Prepaid,2019-01-12,2023-06-15,71,81,80,0,,0,9330,0,0.333,,0
C02131,Postpaid,2015-11-07,2023-05-28,146,142,133,1,32.25,1,3300,0,0.214,,0
C02747,Postpaid,2016-04-24,2023-06-22,128,132,134,0,37.46,1,1200,0,0.116,,0
C02364,Prepaid,2014-01-22,2023-05-19,130,123,2,2,,0,3660,0,0.235,,1
C02988,Prepaid,2015-10-06,2023-04-30,52,27,0,1,,0,4370,1,0.074,,1
C02765,Postpaid,2020-05-14,2023-05-25,130,112,120,3,42.66,1,3160,0,0.0,,0
C00664,Postpaid,2018-07-31,2023-06-23,214,230,243,0,53.69,1,9160,0,0.153,,0
C01915,Postpaid,2014-07-27,2023-05-26,144,124,6,2,35.64,0,3000,0,0.173,2023-06-29,1
C01912,Prepaid,2015-01-24,2023-06-08,31,27,26,0,,0,7650,0,0.182,,0
C04206,Prepaid,2018-06-28,2023-06-16,128,137,132,0,,0,9160,0,0.153,,0
C02611,Prepaid,2022-12-18,2023-06-20,80,74,76,2,,0,3000,0,0.173,,0
C00937,Prepaid,2016-04-30,2023-06-18,242,211,199,2,,0,3000,0,0.173,,0
C04686,Prepaid,2018-09-24,2023-05-08,79,42,1,4,,0,3000 Leuven,0,0.173,,1
C01528,Postpaid,2021-04-29,2023-05-04,295,262,238,0,36.94,0,6020,0,0.167,,0
C04022,Postpaid,2016-11-01,2023-06-29,77,69,65,0,26.7,0,2000,0,0.182,,0
C04607,Prepaid,2014-01-02,2023-05-13,68,35,0,3,,0,5350,0,0.214,,1
C01065,Prepaid,2020-12-22,2023-05-09,55,49,2,0,,0,1700,1,0.342,,1
C03847,Postpaid,2021-06-21,2023-06-23,384,377,406,2,52.26,0,3200,0,0.222,,0
C03980,Postpaid,2015-01-24,2023-06-02,354,367,378,2,50.25,0,1670,0,0.125,,0
C02771,Postpaid,2021-09-20,2023-06-16,438,376,364,1,53.34,0,6620,0,0.118,,0
C01615,Postpaid,2014-04-20,2023-05-15,922,1005,927,2,107.77,1,1300,0,0.26,,0
C01101,Postpaid,2015-06-04,2023-05-07,157,127,6,0,44.55,0,9100,0,0.136,2023-06-17,1
C02196,Postpaid,2021-01-28,2023-05-24,95,74,3,1,31.62,0,2670,1,0.086,2023-06-30,1
C03045,Postpaid,2019-07-04,2023-05-23,168,161,165,1,45.93,0,9760,0,0.25,,0
C04228,Postpaid,2022-12-08,2023-05-28,226,117,1,1,50.56,0,9160,0,0.153,2023-06-07,1
C04668,Postpaid,2018-04-03,2023-05-06,294,284,309,1,43.2,0,6900,0,0.205,,0
C03456,Postpaid,2014-01-22,2023-06-29,519,487,516,0,57.65,3,8310,1,0.175,2025-01-29,0
C04120,Prepaid,2017-06-19,2023-06-23,23,25,27,0,,0,4390,0,0.071,,0
C01003,Postpaid,2015-06-22,2023-05-26,590,625,639,2,68.48,0,1080,0,0.381,,0
C00386,Postpaid,2014-06-16,2023-06-22,191,165,162,0,49.29,0,4750,0,0.25,,0
C02265,Postpaid,2016-05-14,2023-06-11,312,301,273,0,47.74,0,6010,0,0.0,2023-11-21,0
C02039,Postpaid,2023-04-06,2023-04-29,283,214,7,5,38.75,1,6900,1,0.205,2023-06-12,1
C03866,Postpaid,03/07/2016,2023-06-02,270,239,262,0,39.13,0,9100,0,0.136,2024-02-29,0
C02178,Postpaid,2017-07-12,2023-06-26,30,34,34,2,28.22,1,8000,0,0.211,,0
C00550,Postpaid,2017-08-20,2023-06-22,142,160,168,0,38.69,0,1310,0,0.143,2024-05-13,0
C02560,Postpaid,2021-10-30,2023-05-03,340,380,388,1,46.33,0,9160,0,0.153,,0
C03098,Postpaid,2017-12-30,2023-05-19,286,242,10,3,47.56,1,9160,1,0.153,2023-06-04,1
C01573,Prepaid,2015-07-26,2023-05-11,125,113,105,0,,0,6870,0,0.28,,0
C04817,Prepaid,2018-01-20,2023-04-21,687,526,31,1,,0,3000 Leuven,0,0.173,,1
C04632,Prepaid,2023-02-26,2023-05-17,153,165,155,2,,0,3900,0,0.143,,0
C02591,Postpaid,2017-01-25,2023-06-20,104,98,88,1,36.9,0,9160,0,0.153,,0
C04676,Postpaid,2023-05-13,2023-06-23,665,747,753,2,93.66,0,9160,0,0.153,,0
C03480,Postpaid,2014-12-24,2023-06-19,100,104,95,1,34.63,0,6900,0,0.205,,0
C01394,Prepaid,2021-08-26,2023-06-03,37,33,34,0,,0,4350,0,0.0,,0
C04782,Prepaid,2023-04-04,2023-06-07,86,78,84,2,,0,2670,0,0.086,,0
C02220,Postpaid,2019-03-01,2023-06-11,57,59,53,0,23.13,0,3080,0,0.0,,0
C02177,Prepaid,2015-07-18,2023-06-22,40,36,39,1,,0,LEU-3000,0,0.173,,0
C04931,Prepaid,2018-08-20,2023-04-13,52,26,1,3,,0,1690,1,0.167,,1
C02067,Postpaid,2022-05-30,2023-06-17,292,276,267,2,46.83,1,4300,0,0.25,,0
C02543,Prepaid,2021-05-20,2023-06-08,83,95,90,2,,0,5210,0,0.0,,0
C01641,Postpaid,2016-09-17,2023-06-14,31,27,28,0,32.12,0,7500,0,0.079,,0
C01291,Postpaid,2021-01-15,2023-06-07,473,512,488,1,,1,2670,0,0.086,,0
C00659,Prepaid,2017-03-08,2023-06-23,163,159,170,1,,0,9100,0,0.136,,0
C00490,Prepaid,2019-08-22,2023-04-10,79,74,2,1,,0,9020,0,0.143,,1
C04142,Postpaid,2015-08-17,2023-06-30,778,731,682,1,80.28,1,9160,0,0.153,2023-11-08,0
C00829,Postpaid,2016-08-11,2023-05-25,405,370,17,4,52.3,1,6960,1,0.359,2023-06-03,1
C02133,Postpaid,2020-10-10,2023-06-16,322,330,333,1,50.34,0,6250,0,0.133,,0
C02608,Postpaid,2018-11-21,2023-06-17,811,769,789,1,72.81,0,4020,0,0.071,2024-11-03,0
