Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
0.0,-1.3598,-0.0728,2.5363,1.3782,-0.3383,0.4624,0.2396,0.0987,0.3638,0.0908,-0.5516,-0.6178,-0.9914,-0.3112,1.4682,-0.4704,0.208,0.0258,0.404,0.2514,-0.0183,0.2778,-0.1105,0.0669,0.1285,-0.1891,0.1336,-0.0211,149.62,0
4.0,1.2297,0.141,0.0454,1.2026,0.1919,0.2727,-0.0052,0.0812,0.465,-0.0993,-1.4169,-0.1538,-0.7511,0.1674,0.0501,-0.4436,0.0028,-0.612,-0.0456,-0.2196,-0.1677,-0.2707,-0.1541,-0.7801,0.7501,-0.2572,0.0345,0.0052,4.99,0
10.0,1.25,-1.2216,0.3839,-1.2349,-1.4854,-0.7532,-0.6894,-0.2275,-2.094,1.3237,0.2277,-0.2427,1.2054,-0.3176,0.7257,-0.8156,0.8739,-0.8478,-0.6832,-0.1028,-0.2318,-0.4833,0.0847,0.3928,0.1611,-0.355,0.0264,0.0424,121.5,0
12.0,1.1032,-0.0403,1.2673,1.2891,-0.736,0.2881,-0.5861,0.1894,0.7823,-0.268,-0.4503,0.9367,0.7084,-0.4686,0.3546,-0.2466,-0.0092,-0.5959,-0.5757,-0.1139,-0.0246,0.196,0.0138,0.1038,0.3643,-0.3823,0.0928,0.0371,12.99,0
22.0,-1.9465,-0.0449,-0.4056,-1.0131,2.942,2.9551,-0.0631,0.8555,0.05,0.5737,-0.0813,-0.2157,0.0442,0.0339,1.1907,0.5788,-0.9757,0.0441,0.4886,-0.2167,-0.5795,-0.7992,0.8703,0.9834,0.3212,0.1496,0.7075,0.0146,0.89,0
23.0,1.1733,0.3535,0.2839,1.1336,-0.1726,-0.9161,0.369,-0.3273,-0.2467,-0.0461,-0.1434,0.9794,1.4923,0.1014,0.7615,-0.0146,-0.5116,-0.3251,-0.3909,0.0279,0.067,0.2278,-0.1505,0.435,0.7248,-0.3371,0.0164,0.03,41.88,0
26.0,-0.5299,0.8739,1.3472,0.1455,0.4142,0.1002,0.7112,0.1761,-0.2867,-0.4847,0.8725,0.8516,-0.5717,0.101,-1.5198,-0.2844,-0.3105,-0.4042,-0.8234,-0.2903,0.0469,0.2081,-0.1855,0.001,0.0988,-0.5529,-0.0733,0.0233,6.14,0
32.0,-2.0089,2.1985,0.1442,1.1594,-0.8152,0.1823,-0.6171,1.5308,-0.5868,0.1299,0.6585,1.265,-0.2065,1.0136,-0.5494,-0.708,0.8696,-0.0957,0.9444,0.0287,0.0949,0.295,0.0111,0.0152,0.0342,-0.2361,0.1283,0.118,2.35,0
35.0,-1.0632,1.4182,1.0867,1.2414,0.0023,0.0459,0.5141,0.2413,-0.1545,0.2807,-0.5319,0.5899,0.5551,-0.1164,0.1659,-1.2372,0.6384,-0.7761,0.6928,0.235,-0.0572,0.3142,-0.1299,0.1143,-0.0278,-0.2599,0.1188,-0.009,20.22,0
50.0,-0.6717,0.5945,0.2164,-0.8673,2.9669,3.6325,0.5633,0.673,-0.1888,-0.4044,-0.6997,-0.1841,-0.4268,-0.183,-0.7477,-0.0377,-0.8665,-0.0073,-0.1604,-0.0028,-0.1364,-0.3004,-0.3317,0.9964,0.5025,-0.518,-0.2083,-0.116,14.8,0
56.0,0.087,-0.052,-0.4979,-3.1519,2.5584,2.7967,0.4703,0.2653,0.9195,-0.7356,0.2087,0.0171,-0.1109,-0.0427,1.6541,-0.3926,-0.876,0.1839,1.2594,0.1672,-0.2394,-0.4373,0.0184,1.013,-0.2589,-0.2932,-0.395,-0.436,10.84,0
56.0,-0.848,1.0435,1.2674,1.1355,0.0214,0.3369,0.3985,0.3174,-0.0287,0.534,0.8113,-0.071,-1.9691,0.45,-0.2632,-0.9684,0.4593,0.0038,1.0007,0.1286,-0.024,0.215,-0.132,-0.0074,-0.1366,-0.243,0.3829,0.2764,20.22,0
59.0,-0.7733,-4.146,-0.932,0.0271,-1.6983,0.4602,0.7373,-0.3142,-0.8427,0.0173,-0.6176,-0.1975,1.595,-0.2599,1.221,1.3246,0.1205,-1.2486,-0.0051,2.4428,0.891,0.0261,-1.1348,-0.655,0.0984,-0.2091,-0.1717,0.2081,1142.02,0
70.0,-0.4261,-0.0603,2.2208,0.0247,-0.585,0.4606,-0.3225,0.4348,1.2524,-1.0121,-1.379,0.2033,-0.8556,-0.9262,-1.5737,-0.4931,0.3291,-0.6182,-0.7084,-0.2001,0.1495,0.7699,-0.0926,0.1505,-0.2342,0.5047,0.0692,0.041,21.8,0
