SalePrice;OverallQuality;LivingArea;GarageCars;GarageArea;YearBuilt;LotArea;Neighborhood;HouseStyle;HasPool;PoolQuality
376430;7;2024;0;0;2006;2701;B;1Story;No;nan
248885;4;1332;3;673;1999;8657;C;1Story;No;nan
273578;8;1131;0;2;1970;8888;F;Townhouse;No;nan
288716;5;1416;2;470;1992;11016;B;2Story;No;nan
477633;7;2059;2;399;1959;4340;C;2Story;No;nan
438989;10;1566;1;183;1979;4543;B;1Story;No;nan
203377;3;795;1;279;2000;12574;D;1Story;No;nan
190919;7;1732;1;304;1982;3894;A;2Story;No;nan
438350;8;1036;1;220;1967;14154;C;Duplex;No;nan
208380;5;422;2;509;1971;5228;D;1Story;No;nan
337845;4;2248;3;629;2013;5249;C;1Story;No;nan
501783;8;1729;3;639;1970;10528;A;1Story;No;nan
405669;8;1461;3;718;1950;9648;B;1Story;No;nan
210148;3;1327;0;32;1964;12925;D;2Story;No;nan
498446;6;2199;1;284;1985;2326;E;1Story;No;nan
436245;5;3044;1;239;1996;9601;F;1Story;No;nan
164993;2;1724;2;399;2003;7862;E;1Story;No;nan
322708;8;985;2;449;1981;4770;F;1Story;No;nan
307479;6;1423;0;48;2007;13644;C;1Story;No;nan
207425;2;1715;0;-5;1995;8706;B;Duplex;No;nan
244137;5;400;3;649;2003;7811;A;2Story;No;nan
237953;1;1667;2;459;1982;9362;C;1Story;No;nan
319449;10;1718;1;;1988;2815;D;2Story;No;nan
559486;6;2163;3;672;1972;4254;E;2Story;Yes;TA
448501;9;2111;1;223;1992;7002;B;1Story;No;nan
238836;1;1556;3;640;2004;8949;C;1Story;No;nan
293656;10;2257;1;259;1951;11824;D;1Story;No;nan
498741;3;2518;0;26;2015;5345;C;1Story;No;nan
270670;7;1514;3;646;1987;4660;B;Duplex;No;nan
276377;4;1709;1;219;1978;9504;E;1Story;No;nan
391094;9;616;1;209;2016;7592;B;Townhouse;No;nan
275887;3;775;2;414;2020;2236;F;2Story;No;nan
202566;5;1081;3;592;1985;5245;F;1Story;No;nan
216388;3;1278;1;201;1978;7455;C;Duplex;No;nan
365724;7;952;2;;1986;7537;C;1Story;No;nan
327438;5;1482;1;225;1994;;D;1Story;No;nan
508247;9;1293;3;;1965;4099;C;2Story;No;nan
452679;7;2035;0;-32;1980;7607;A;1Story;No;nan
176571;2;1263;3;675;1983;10841;F;1Story;No;nan
235558;4;400;3;622;1999;1000;C;2Story;No;nan
460650;9;1563;1;215;2014;7153;B;Duplex;No;nan
185589;2;1493;1;196;2011;3014;C;1Story;No;nan
422267;10;1069;3;690;1992;7903;B;1Story;No;nan
512079;9;1547;2;;2005;3486;B;2Story;No;nan
283898;10;962;2;436;1964;8402;C;2Story;No;nan
295004;5;1665;2;415;1997;12880;C;1Story;No;nan
259031;2;2816;1;;1998;5062;C;Townhouse;No;nan
222005;4;597;1;293;1993;5497;F;2Story;No;nan
413677;7;1242;3;640;1959;6590;E;2Story;No;nan
260353;8;1162;0;19;1969;8956;A;Townhouse;No;nan
202643;3;1283;1;215;2019;4943;A;Townhouse;No;nan
227356;1;2010;3;678;1957;6859;D;1Story;No;nan
340126;4;1771;3;;1994;5992;D;1Story;No;nan
316569;2;1924;0;-14;1983;6600;E;2Story;No;nan
328140;8;1515;2;468;2000;8991;D;Townhouse;No;nan
221761;4;839;3;770;1953;9653;B;2Story;No;nan
216165;2;943;3;683;1988;3570;C;1Story;No;nan
294606;6;1873;3;725;1973;8980;E;2Story;No;nan
311227;6;1585;2;459;2004;17437;F;1Story;No;nan
549978;10;2130;2;403;1975;12633;B;Townhouse;No;nan
215856;4;1647;0;11;1974;6074;C;1Story;No;nan
258188;6;908;1;207;1985;8396;B;Townhouse;No;nan
221412;2;1239;2;416;2020;7899;C;1Story;No;nan
413387;10;1782;1;217;2007;9378;A;Townhouse;No;nan
210700;2;1855;1;214;1961;6733;F;1Story;No;nan
459902;10;1928;2;398;1950;7193;D;2Story;No;nan
288076;4;976;3;768;1999;5808;E;Townhouse;No;nan
244087;8;899;0;32;1974;11286;F;2Story;No;nan
302119;7;1405;1;230;1954;8933;B;2Story;No;nan
478164;9;2220;3;664;2017;8956;D;1Story;No;nan
347448;8;1153;2;488;1955;11655;E;1Story;No;nan
257103;5;1727;1;303;1975;11700;C;Duplex;No;nan
276918;2;1728;1;247;2004;11133;D;1Story;No;nan
275728;5;1880;1;225;1988;11609;C;2Story;No;nan
644499;8;2332;3;719;1958;12688;D;2Story;No;nan
470677;10;2281;3;666;1994;5100;C;1Story;No;nan
445390;9;1203;3;677;1963;7104;C;1Story;No;nan
348523;9;451;1;260;2004;10127;A;1Story;No;nan
215149;1;1161;1;205;1958;;A;1Story;No;nan
399731;9;1538;0;-83;1964;6910;A;Townhouse;Yes;TA
414987;7;1319;0;-17;1986;8583;B;2Story;No;nan
485273;9;2484;3;691;1999;7310;C;1Story;No;nan
524498;8;1509;3;;2021;8198;A;1Story;No;nan
263808;1;1827;2;494;1970;4564;B;2Story;No;nan
523414;8;1609;3;644;2006;7887;E;1Story;No;nan
294772;8;1327;0;63;1968;8402;E;1Story;Yes;Gd
140272;3;538;0;7;2007;12845;E;1Story;No;nan
179041;1;1461;0;24;1955;7194;F;Duplex;Yes;Ex
609606;8;3127;1;256;1953;6049;A;1Story;No;nan
